name,twitter,Political group,Nationality
CABEZÓN RUIZ Soledad,SoledadCabezon,GUE,Spain
IN 'T VELD Sophia,SophieintVeld,EPP,Czech Republic
POST Soraya,SorayaPostFi,EPP,Germany
PIETIKÄINEN Sirpa,spietikainen,EPP,Italy
POLČÁK Stanislav,stanislavpolcak,S&D,Italy
BRIOIS Steeve,SteeveBriois,GUE,Spain
ECK Stefan,Stefan_Eck_MEP,ECR,Poland
WOOLFE Steven,Steven_Woolfe,S&D,Germany
STEVENS Helga,StevensHelga,EPP,Croatia
SULÍK Richard,SulikRichard,S&D,Poland
GIEGOLD Sven,sven_giegold,EPP,Latvia
KAMALL Syed,SyedKamall,ECR,UK
SYLIKIOTIS Neoklis,sylikiotis,GUE,Greece
GODDYN Sylvie,Sylvie_Goddyn,S&D,Spain
GUILLAUME Sylvie,sylvieguillaume,EPP,Hungary
SZANYI Tibor,szanyitibor,S&D,Hungary
SZEJNFELD Adam,szejnfeld,EPP,Slovenia
ZWIEFKA Tadeusz,TadeuszZwiefka,EPP,Italy
TAMBURRANO Dario,tamburrano,S&D,Portugal
GONZÁLEZ PEÑAS Tania,TaniaGonzalezPs,NI (Communist Party of Greece),Greece
ZDANOKA Tatjana,Tatjana_Zdanoka,Greens,UK
TELIČKA Pavel,Telicka,ALDE,Czech Republic
JIMÉNEZ-BECERRIL BARRIO Teresa,TeresaJBecerril,GUE,Spain
RODRIGUEZ RUBIO Teresa,TeresaRodr_,Greens,Austria
REINTKE Terry,TerryReintke,EFDD,Italy
FAJON Tanja,tfajon,Greens,Germany
HADJIGEORGIOU Takis,thadjigeorgiou,EPP,Hungary
HÄNDEL Thomas,thaendel,ALDE,France
GRIFFIN Theresa,TheresaG_EU,EFDD,Italy
AKER Tim,Tim_Aker,S&D,UK
KIRKHOPE Timothy,TimKirkhopeMEP,ECR,Czech Republic
TOIA Patrizia,toiapatrizia,GUE,Spain
SAÏFITokia,TokiaSaifi,EPP,France
PORĘBA Tomasz Piotr,TomaszPoreba,Greens,Latvia
ZDECHOVSKÝ Tomáš,TomZdechovsky,S&D,Spain
LÓPEZ-ISTÚRIZ WHITE Antonio,TonoEPP,S&D,France
GUOGA Antanas,TonyGuoga,S&D,Italy
PICULA Tonino,TPicula,S&D,Sweden
UNGUREANU Traian,TraianUngureanu,EPP,Romania
BULLMANN Udo,UdoBullmann,ECR,Denmark
VOIGT Udo,udovoigt,S&D,France
MÜLLER Ulrike,UliMuellerMdEP,EPP,Poland
LUNACEK Ulrike,UlrikeLunacek,GUE/NGL,Spain
RODUST Ulrike,UlrikeRodust,NI (Lega Nord),Italy
FORD Vicky,vickyford,EPP,Bulgaria
USPASKICH Viktor,ViktorUspaskich,GUE,Portugal
VILIMSKY Harald,vilimsky,EFDD,Italy
PEILLON Vincent,Vincent_Peillon,Greens,Germany
REDING Viviane,VivianeRedingEU,EPP,Germany
VOZEMBERG Elissavet,vozemberg,EPP,Poland
ROZIÈRE Virginie,VRoziere,EPP,Greece
WAŁĘSA Jarosław,WalesaMEP,ALDE,Romania
WEIDENHOLZER Josef,Weidenholzer,EPP,Poland
KUHN Werner,WernerKuhnMdEP,S&D,Germany
WESTPHAL Kerstin,WestphalKerstin,EPP,France
CAMP Wim van de,WimvandeCamp,ECR,Poland
JADOT Yannick,yannickjadot,EPP,Poland
OMARJEE Younous,younousomarjee,EPP,Greece
ZAHRADIL Jan,ZahradilJan,S&D,Germany
KUŹMIUK Zbigniew Krzysztof,ZbigniewKuzmiuk,EPP,Poland
KRASNODĘBSKI Zdzisław,ZdzKrasnodebski,EFDD,Italy
BELDER Bas @,EurofractieSGP,EFDD,Italy
AGEA Laura,,EFDD,Italy
AGNEW John Stuart,,Greens,Germany
ALI Nedzhmi,,ALDE,Estonia
ARENA Maria,,ECR,UK
ASSIS Francisco,,ALDE,Netherlands
BACH Georges,,S&D,France
BALCZÓ Zoltán,,Greens,Germany
BAREKOV Nikolay,,NI (Front National),France
BAYET Hugues,,ALDE,Spain
BECKER Heinz K.,,S&D,France
BERGERON Joëlle,,ALDE,Spain
BILDE Dominique,,NI (Front National),France
BIZZOTTO Mara,,GUE,Sweden
BLANCO LÓPEZ  José,,S&D,Spain
BLINKEVIČIŪTĖ Vilija,,S&D,Lithuania
BOȘTINARU Victor,,S&D,Romania
BOCSKOR Andrea,,NI (Lega Nord),Italy
BORRELLI David,,S&D,Croatia
BOURS Louise,,EFDD,UK
BOUTONNET Marie Christine,,GUE,Ireland
BRADBOURN Philip,,EPP,Germany
BUȘOI Cristian Silviu,,EPP,Germany
CASTALDO Fabio Massimo,,EPP,Italy
CHARANZOVÁ Dita,,S&D,Denmark
CHRYSOGONOS Kostas,,S&D,Italy
COLLIN LANGEN Birgit,,S&D,UK
CORRAO Ignazio,,EFDD,Italy
COSTA Silvia,,S&D,Italy
CRAMER Michael,,Greens,Germany
CRISTEA Andi Lucian,,S&D,Romania
CROWLEY Brian,,ECR,Poland
DĂNCILĂ Viorica,,S&D,Romania
DÍAZ DE MERA GARCÍA CONSUEGRA Agustin,,EPP,France
DARTMOUTH William The Earl of,,S&D,Italy
DE MASI Fabio,,EPP,France
DELI Andor,,Greens,France
DELVAUX STEHRES Mady,,S&D,France
DEPREZ Gérard,,ECR,UK
DIACONU Mircea,,NI (Democratic Unionist Party),UK
DOHRMANN Jørn,,EPP,Italy
D'ORNANO Mireille,,Greens,France
DZHAMBAZKI Angel,,GUE,Germany
EHLER Christian,,Greens,Netherlands
ENGEL Frank,,Greens,Sweden
EPITIDEIOS Georgios,,NI (Popular Association -Golden Dawn),Greece
ERDŐS Norbert,,EPP,Hungary
ERIKSSON Peter,,Greens,Sweden
ERNST Cornelia,,S&D,Germany
ESTARÀS FERRAGUT Rosa,,EFDD,UK
FARIA José Inácio,,EPP,Portugal
FERRAND Edouard,,S&D,Portugal
FERREIRA João,,EPP,Sweden
FLAŠÍKOVÁ BEŇOVÁ Monika,,S&D,Germany
FLORENZ Karl Heinz,,ECR,UK
FORENZA Eleonora,,ECR,UK
FOTYGA Anna Elżbieta,,ECR,Poland
FOUNTOULIS Lampros,,S&D,Austria
FRUNZULICĂ‚ Doru Claudian,,S&D,Romania
GÁL Kinga,,EPP,Hungary
GÁLL-PELCZ Ildikó,,S&D,Italy
GEBHARDT Evelyne,,ALDE,Netherlands
GERICKE Arne,,S&D,Poland
GIESEKE Jens,,S&D,Italy
GLEZOS Emmanouil,,ALDE,France
GRÓBARCZYK Marek Józef,,NI (Partij voor de Vrijheid),Netherlands
GRAMMATIKAKIS Giorgos,,S&D,Greece
GRANDES PASCUAL Luis de,,EPP,Spain
GRAPINI Maria,,S&D,Italy
GUERRERO SALOM Enrique,,S&D,Spain
GYÜRK András,,ECR,Finland
HÖLVÉNYI György,,ECR,Germany
HERRANZ  GARCÍA Esther,,EPP,Spain
HETMAN Krzysztof,,EPP,Poland
HEUBUCH Maria,,Greens,Germany
HOFFMANN Iris,,S&D,UK
HOOKEM Mike,,ALDE,Netherlands
HYUSMENOVA Filiz,,S&D,Romania
IWASZKIEWICZ Robert Jarosław,,ALDE,Finland
JÁUREGUI ATONDO Ramón,,Greens,France
JAHR Peter,,ALDE,Croatia
JALKH Jean François,,EFDD,UK
JANSEN Hans,,EPP,France
JUARISTI ABAUNZ Iosu,,S&D,Greece
KALINOWSKI Jarosław,,ALDE,Estonia
KÖLMEL Bernd,,ECR,UK
KAMMEREVERT Petra,,S&D,Germany
KAPPEL Barbara,,ECR,UK
KARLSSON Rikke,,ECR,Denmark
KARSKI Karol Adam,,ECR,Poland
KÖSTER Dietmar,,EPP,Greece
KELAM Tunne,,EPP,Estonia
KELLER Jan,,S&D,UK
KOCH Dieter Lebrecht,,NI (Kongres Nowej Prawicy),Poland
KOVÁCS Béla,,S&D,Finland
KUNEVA Kostadinka,,S&D,Italy
KYLLÖNEN Merja,,GUE,Finland
KYRKOS Miltiadis,,EPP,Germany
LÖSING Sabine,,GUE,Germany
LAURISTIN Marju,,NI (Front National),France
LEGUTKO Ryszard Antoni,,EPP,Poland
LEWER Andrew,,S&D,Germany
LINS Norbert,,Greens,Germany
LOISEAU Philippe,,NI (Front National),France
LOPE FONTAGNÉ Verónica,,S&D,Sweden
ŁUKACIJEWSKA Elżbieta Katarzyna,,Greens,Austria
LUNDGREN Peter,,S&D,Poland
MĂNESCU Ramona Nicole,,NI (Front National),France
MAŠTÁLKA Jiří,,GUE/NGL,Czech Republic
MAŇKA  Vladimír,,EPP,Romania
MAEIJER Vicky,,EPP,Croatia
MALINOV Svetoslav Hristov,,GUE,Italy
MAMIKINS Andrejs,,S&D,Latvia
MANN Thomas,,EPP,Germany
MANSCOUR Louis Joseph,,S&D,UK
MARTIN Dominique,,EPP,Italy
MARUSIK Michał,,S&D,France
MAVRIDES Costas,,S&D,Cyprus
MAYER Georg,,NI (Freiheitliche Partei Osterreichs),Austria
MAZURONIS Valentinas,,ALDE,Germany
MELIOR Susanne,,EPP,Malta
MICHEL Louis,,ALDE,Belgium
MICHELS Martina,,GUE,Germany
MIHAYLOVA Iskra,,EPP,Slovakia
MILLÁN MON Francisco José,,ALDE,Austria
MOI Giulia,,EFDD,Italy
MOISĂ Sorin,,S&D,Romania
MOLNÁR Csaba,,EPP,Portugal
MONTEL Sophie,,EPP,France
MORGANO Luigi,,EPP,France
MORVAI Krisztina,,GUE,Ireland
NAGY József,,S&D,Bulgaria
NEUSER Norbert,,S&D,Germany
NICA Dan,,ECR,UK
NICOLAI Norica,,ALDE,Netherlands
NILSSON Jens,,EPP,Netherlands
NOICHL Maria,,EPP,Latvia
PAGAZAURTUNDÚA RUIZ Maite,,S&D,Cyprus
PAPADAKIS Konstantinos,,EPP,Italy
PAULSEN Marit,,ALDE,Denmark
PETIR Marijana,,S&D,Croatia
PIECHA Bolesław Grzegorz,,ECR,Poland
PIEPER Markus,,EPP,Finland
PIOTROWSKI Mirosław,,S&D,Netherlands
PIRINSKI Georgi,,S&D,Bulgaria
PITERA Julia,,EPP,Croatia
PLURA Marek MirosÅ‚aw,,ECR,Germany
PREUSS Gabriele,,EPP,France
QUISTHOUDT ROWOHL Godelieve,,EPP,Germany
RADEV Emil,,EPP,Portugal
RANSDORF Miloslav,,EPP,Austria
REBEGA Constantin Laurențiu,,ALDE,Finland
REID Julia,,S&D,France
RIBEIRO Sofia,,S&D,Spain
RODRIGUES Liliana,,S&D,Portugal
RODRIGUES Maria João,,EPP,Belgium
ROPĖ Bronis,,S&D,France
RUAS Fernando,,S&D,Romania
SÓGOR Csaba,,EPP,Italy
SALVINI Matteo,,EPP,Hungary
SCHLEIN Elena Ethel,,EPP,Austria
SCHOLZ Helmut,,EPP,Germany
SCHUSTER Joachim,,EPP,Italy
SERRÃO SANTOS Ricardo,,EPP,Poland
SILVA PEREIRA Pedro,,S&D,Slovakia
ŠOJDROVÁ Michaela,,EPP,Czech Republic
SOLTES Igor,,Greens,Slovenia
SOMMER Renate,,S&D,Italy
SPINELLI Barbara,,S&D,Bulgaria
STARBATTY Joachim,,S&D,UK
STOLOJAN Theodor Dumitru,,GUE,Cyprus
SYNADINOS Eleytherios,,NI (Popular Association -Golden Dawn),Greece
SZÁJER József,,EPP,Poland
TØRNÆS Ulla,,ALDE,Denmark
TĂNĂSESCU Claudiu Ciprian,,S&D,Romania
TŐKÉS László,,ECR,UK
TAPARDEL Ana Claudia,,EPP,Poland
TOŠENOVSKÝ Evžen,,S&D,Italy
TOMAŠEVSKI Valdemar,,ECR,Croatia
TOMC Romana,,EPP,Slovenia
TOOM Yana,,Greens,Germany
TREBESIUS Ulrike,,Greens,Luxembourg
UJAZDOWSKI Kazimierz Michał,,ECR,Poland
UJHELYI István,,Greens,Spain
URUTCHEV Vladimir,,ALDE,Slovenia
VALCÁRCEL Ramón Luis,,S&D,Belgium
VAN ORDEN Geoffrey,,ECR,Belgium
VANA Monika,,ALDE,Belgium
VIEGAS Miguel,,S&D,Austria
WEIZSÄCKER Jakob von,,S&D,Germany
WENTA Bogdan Brunon,,EPP,Poland
WERNER Martina,,ECR,Poland
WIELAND Rainer,,EFDD,Sweden
WINKLER Hermann,,EPP,Germany
WINKLER Iuliu,,EFDD,UK
ŻÓŁTEK Stanisław,,EPP,Slovakia
ZŁOTOWSKI Kosma Tadeusz,,ECR,Latvia
ZAGORAKIS Theodoros,,ECR,Czech Republic
ZALA Boris,,EPP,Spain
ZANNI Marco,,S&D,Italy
ZARIANOPOULOS Sotirios,,GUE,Germany
ŽITŇANSKÁ Jana,,S&D,Portugal
ZUBER Inês Cristina,,EPP,Poland
